,id,installed,latitude,locked,longitude,name,bikes_count,docks_count,nbEmptyDocks,temporary,terminal_name,install_date,removal_date
325,98,True,51.52554222,false,-0.138231303,"Hampstead Road, Euston",49,54,4,False,972,2010-07-14,
326,152,True,51.49217002,false,-0.101536865,"Hampton Street, Walworth",5,21,16,False,1118,2010-07-15,
327,806,True,51.5372405623,false,-0.124807385707,"Handyside Street, King's Cross",21,27,6,False,300241,2016-09-01,
328,527,True,51.503802,false,-0.215808,"Hansard Mews, Holland Park",20,20,0,False,200154,2012-02-09,
329,757,True,51.48795853,false,-0.187404506,"Harcourt Terrace, West Brompton",24,24,0,False,300069,2014-01-07,
330,170,True,51.5278427,false,-0.1080682,"Hardwick Street, Clerkenwell",23,30,6,False,1057,2010-07-16,
331,550,True,51.521564,false,-0.039264,"Harford Street, Mile End",19,23,4,False,200102,,
332,249,True,51.49859784,false,-0.096191134,"Harper Road, The Borough",30,42,12,False,1137,2010-07-20,
333,368,True,51.50024195,false,-0.15934065,"Harriet Street, Knightsbridge",14,25,11,False,2681,2010-12-01,
334,90,True,51.53301907,false,-0.139174593,"Harrington Square 1, Camden Town",27,27,0,False,1038,2010-07-13,
335,666,True,51.492668,false,-0.072350665,"Harris Academy, Bermondsey",13,18,5,False,300004,2013-10-29,
336,367,True,51.5173721,false,-0.1642075,"Harrowby Street, Marylebone",9,16,6,False,2680,,
337,676,True,51.47787084,false,-0.126874471,"Hartington Road, Stockwell",13,35,22,False,200207,2013-11-04,
338,67,True,51.51882555,false,-0.108028472,"Hatton Garden, Holborn",0,28,28,False,985,2010-07-11,
339,17,True,51.5216612,false,-0.109006325,"Hatton Wall, Holborn",6,26,20,False,1008,2010-07-06,
340,713,True,51.54100708,false,-0.14326094,"Hawley Crescent, Camden Town",15,22,7,False,200122,2013-11-18,
341,677,True,51.46866929,false,-0.146544642,"Heath Road, Battersea",20,27,7,False,200023,2013-11-03,
342,812,True,51.5487311915,false,-0.0226065549321,"Here East North, Queen Elizabeth Olympic Park",14,28,14,False,300217,2016-07-20,
343,816,True,51.5465327935,false,-0.0205975904647,"Here East South, Queen Elizabeth Olympic Park",14,28,14,False,300219,2017-03-09,
344,29,True,51.513735,false,-0.193487,"Hereford Road, Bayswater",12,22,10,False,1016,2010-07-07,
345,451,True,51.504719,false,-0.063531,"Hermitage Court, Wapping",16,16,0,False,200021,2012-01-02,
346,556,True,51.502661,false,-0.021596,"Heron Quays DLR, Canary Wharf",2,27,25,False,200138,,
347,748,True,51.53727795,false,-0.079201849,"Hertford Road, De Beauvoir Town",25,25,0,False,300092,2013-12-04,
348,471,True,51.533283,false,-0.028155,"Hewison Street, Old Ford",18,19,1,False,200006,2012-01-17,
349,673,True,51.46517078,false,-0.18038939,"Hibbert Street, Battersea",23,36,11,False,300051,2013-11-01,
350,358,True,51.516226,false,-0.124826,"High Holborn , Covent Garden",3,20,17,False,1229,2010-11-18,
351,210,True,51.51681444,false,-0.151926305,"Hinde Street, Marylebone",3,21,18,False,3476,2010-07-19,
352,66,True,51.51795029,false,-0.108657431,"Holborn Circus, Holborn",0,40,40,False,982,2010-07-11,
353,627,True,51.4687905,false,-0.158230901,"Holden Street, Battersea",16,20,4,False,200007,2013-10-16,
354,398,True,51.502319,false,-0.200742,"Holland Park, Kensington",20,30,10,False,10631,2011-03-02,
355,578,True,51.527607,false,-0.057133,"Hollybush Gardens, Bethnal Green",32,32,0,False,200244,2012-02-28,
356,150,True,51.49705603,false,-0.168917077,"Holy Trinity Brompton, Knightsbridge",8,28,20,False,1002,2010-07-15,
357,194,True,51.50462759,false,-0.091773776,"Hop Exchange, The Borough",31,56,24,False,960,2010-07-17,
